,level_0,index,frequency
635,635,5)c6,10152
636,636,CN1C(=O),10104
637,637,[C@H]3CC,10098
638,638,CN=C(N)N),10083
639,639,4=O),10047
640,640,s1,10026
641,641,CCNC(=O),10019
642,642,c1ccc(Cl)cc,10000
643,643,2/,9992
644,644,3=O,9957
645,645,4)cc1,9952
646,646,sc(,9946
647,647,cccs,9935
648,648,\N=C(,9916
649,649,NC(=O)[C@H](CCCNC(=N)N),9901
650,650,6),9853
651,651,O[C@H](CO)[C@@H](O),9843
652,652,c2ccc(C,9825
653,653,(OC,9795
654,654,[N+](=O)[O-]),9774
655,655,NC1=O),9767
656,656,NC(=O)[C@H](CCCCN,9697
657,657,4)N,9637
658,658,=NC,9620
659,659,CCn1,9617
660,660,nc(N),9602
661,661,csc(,9588
662,662,[C@H]3C,9548
663,663,2Cl,2759
664,664,[C@H](N),9508
665,665,c2cccc3,9493
666,666,C1,9481
667,667,CN(C)C,9466
668,668,CN(,9444
669,669,[C@@H](C)O),9440
670,670,c4ccccc4C,9436
671,671,n2C,2066
672,672,n2cn,9402
673,673,Cl),9387
674,674,CN(C)CC,9360
675,675,2)c3ccc(,9356
676,676,2)S(=O)(=O),9352
677,677,OC)c2,9302
678,678,(Cl)c2,3003
679,679,NC(=O)[C@H](CO),9254
680,680,CNC(=O),9199
681,681,c5ccccc4,9176
682,682,oc(C,9160
683,683,c1ccc(cc1)C,9147
684,684,OC(=O)N,9110
685,685,s2,9075
686,686,CN3,9052
687,687,c4cn,9027
688,688,(C)(C)C),9020
689,689,Clc1ccc(,9009
690,690,CCN(C)CC,8958
691,691,c23,8917
692,692,c2ccc(cc2,8845
693,693,4)CC,8820
694,694,)C(=O)N[C@@H](C,8814
695,695,ncccc,8792
696,696,Nc1nc(,8792
697,697,3)CC,8790
698,698,[C@H]5,8783
699,699,OC)c(,8732
700,700,OCCCC,8731
701,701,)c2ccccc,8721
702,702,Oc1ccc(,8718
703,703,COc1ccc(cc1)c2,8700
704,704,c4c(,8685
705,705,)C2=O),8667
706,706,\C=C(/C,8661
707,707,N3CCN(CC,8649
708,708,c1ccc(cc1)C2,8614
709,709,)c3ccccc3,4086
710,710,(=CC,8571
711,711,)c7,8566
712,712,c2ccc(O)cc,8531
713,713,(C)C(=O),8523
714,714,c%1,8517
715,715,3)N,8511
716,716,(F)(,8511
717,717,nn2,4458
718,718,[C@](C),8479
719,719,c2cc3,8470
720,720,OS(=O)(=O),8457
721,721,5CCOCC,8377
722,722,[C@@H]4CC,8358
723,723,C(=O)N),8348
724,724,NC(=S)N,8339
725,725,c5ccc,8333
726,726,(O)(C,8332
727,727,NC(=O)CS,8312
728,728,nnc(,8278
729,729,c3c[nH],8278
730,730,4)C(=O)N,8244
731,731,OC(F)(F),8238
732,732,c5ccc(,8211
733,733,Fc1ccc(,8181
734,734,(C)c2,8170
735,735,3=N,8161
736,736,NC(=O)[C@H](C),8141
737,737,)\C,8118
738,738,(Cl)c4,2727
739,739,c(cn,8077
740,740,C[C@@H]1,8073
741,741,OC[C@H]1,8053
742,742,[C@@H]5CC,7993
743,743,(=NC,7961
744,744,O)c2,7933
745,745,C(=O)N(CC,7919
746,746,CC(=O)O,3868
747,747,CN1CC,7865
748,748,s3,7864
749,749,4CCC,7862
750,750,S),7856
751,751,1)c3,7852
752,752,CCC(CC1),7847
753,753,c3ccc(O)cc,7823
754,754,c3ccccc23),7803
755,755,c(Cl),7803
756,756,O)c(O),7794
757,757,Cc1ccc(C,7793
758,758,[n+]1,7788
759,759,(=C(C,7748
760,760,)c5ccccc5,6441
761,761,)c4ccccc4,7104
762,762,)cc1OC,7696
763,763,(N),7639
764,764,\C=C\C(=O),7630
765,765,ccccc7,1871
766,766,c3cccc4,7628
767,767,OCCOCC,7608
768,768,N1C(=O),7604
769,769,\C=C\C,7596
770,770,Cc1ccc2,7584
771,771,\C=C\2/,7509
772,772,sc3,7504
773,773,c3cccnc3,2300
774,774,2)C(=O)NC,7470
775,775,[C@]5,7443
776,776,%3,7436
777,777,[C@H]2CC,7414
778,778,c1ccc(cc1)S(=O)(=O)N,7396
779,779,\N,7389
780,780,c1cccc(C,7375
781,781,c1ncc,7363
782,782,Cc1ccccc1,7356
783,783,OCCC,7346
784,784,2)c3ccc(cc,7336
785,785,c1c2,7326
786,786,COC,7320
787,787,[C@H](NC(=O)C,7287
788,788,CCC(=O)N,7266
789,789,(CO,7263
790,790,COc1cccc(,7230
791,791,OC)c(OC)c(OC,7225
792,792,c1)c2,7191
793,793,NC(=O)[C@H](CCCCN),7189
794,794,3)c1,7180
795,795,N(C)C(=O),7150
796,796,2CCOCC,7147
797,797,)C#N,1645
798,798,(C)c3,7118
799,799,c2nn,7115
800,800,CC1=C,7108
801,801,2)C(=O)C,7105
802,802,CCCCCCCCCCCC,7082
803,803,COc1cc(cc(OC)c1,7073
804,804,n1C,1636
805,805,13,7067
806,806,CS(=O)(=O),7027
807,807,[C@@H]5,7020
808,808,N2C(=O),6988
809,809,CCN(CC),6964
810,810,[C@@H](NC(=O),6952
811,811,[C@@H]1O),6948
812,812,[C@H](OC(=O),6928
813,813,NC(=O)[C@H](CC(=O)O),6917
814,814,(C)C)C(=O)N[C@@H](CC,6916
815,815,[C@]4(C),6910
816,816,(CCCC,6902
817,817,(=C),6892
818,818,sc2,6883
819,819,cccnc,6879
820,820,[C@@](C),6879
821,821,N(C(=O),6859
822,822,(CC(C,6858
823,823,c2cccnc2,1670
824,824,oc(nn,6851
825,825,c2ccccc2)C,6830
826,826,cncn,6824
827,827,c2c(C,6819
828,828,CN1CCN(CC,6818
829,829,)c2cc1,6793
830,830,cc(cn,6784
831,831,(Cl)c(Cl)c,6782
832,832,5CCCC,6759
833,833,[C@H](O)[C@@H](O),6742
834,834,)C2=O,6741
835,835,(NC(=O),6726
836,836,sc1,6720
837,837,co,6712
838,838,(CO),6692
839,839,(F)(F)C,6690
840,840,ncc3,6672
841,841,1CCC,6669
842,842,(C(=O),6665
843,843,c1ccc(cc1)C(=O)N,6622
844,844,NC(=O)[C@H](CCC(=O)O),6622
845,845,[Br,6619
846,846,[Br-].,6615
847,847,OCOc5,6599
848,848,c2ccc(cc2)C,6596
849,849,=C(C),6587
850,850,[C@H](CO),6583
851,851,cc(CC,6535
852,852,c3ccc(cc3,6534
853,853,cc(OC,6528
854,854,c3C,6527
855,855,c3o,6514
856,856,c1ccc2C,6494
857,857,)C(=O)O),6493
858,858,[C@H](NC(=O)[C@H](C,6461
859,859,1=N,6459
860,860,c1ccc(O),6455
861,861,=CC=C,6448
862,862,[C@@H](O[C@@H],6431
863,863,COc1cccc(c1,6423
864,864,5CCCCC,6415
865,865,4CCOCC4,6413
866,866,O1,6410
867,867,COCC,6391
868,868,c3ccc(Cl)cc3,4303
869,869,NS(=O)(=O)C,6359
870,870,SSC,6355
871,871,4CCN(CC,6352
872,872,NC(=O)[C@@H](C,6345
873,873,COc1cc(ccc1,6338
874,874,2C(=O),6331
875,875,C(=O)N[C@@H](CCCNC(=N)N),6326
876,876,c2ccccc2)c3,6322
877,877,NC(=O)[C@H](CC(=O)N,6319
878,878,cccc3,6317
879,879,)c2),6317
880,880,[C@H](O,6316
881,881,N1CC,6314
882,882,NC(=O)c2cc(,6298
883,883,c2),6293
884,884,c3cc4,6289
885,885,1Cl,6276
886,886,c1c(C),6262
887,887,N3C,6256
888,888,Cc1cccc(,6249
889,889,3CCOCC3,6248
890,890,c1ccc2c(,6244
891,891,C(,6221
892,892,O)\,6220
893,893,c3occc,6216
894,894,C(=O)C(=C,6214
895,895,[C@@H](C)CC,6210
896,896,C[C@]1,6194
897,897,#N)C,6194
898,898,nc(cs,6183
899,899,F)cc(,6179
900,900,3)c4ccc(,6179
901,901,=C(O,6169
902,902,/C/,6168
903,903,2CCC(CC,6160
904,904,1)C2,6146
905,905,NC(=O)[C@@H](N)C,6143
906,906,CN2C(=O),6143
907,907,O[C@H](CO)[C@@H](O)[C@H](O),6114
908,908,ncnc(N,6078
909,909,1CCN(CC,6073
910,910,c3ccc(cc3)C,6070
911,911,Nc1n,6066
912,912,c2ccccc12),6061
913,913,CCN1C,6057
914,914,)c3ccc(,6049
915,915,(O)CC,6037
916,916,[C@H]6,6032
917,917,cccc2,6020
918,918,c3ccc(C,5996
919,919,cnc(,5986
920,920,NCCCC,5984
921,921,Cl.Cl.,5978
922,922,[S+],5959
923,923,O)cc1,5956
924,924,)c2C,5945
925,925,no,5923
926,926,.OC(=O),5922
927,927,C[C@H]1,5920
928,928,c1ccc(NC(=O),5919
929,929,C(C,5915
930,930,nn(,5906
931,931,c2ccc(cc2)c3,5903
932,932,cc5,5901
933,933,c3ccccc23,5890
934,934,(=O)O,5875
935,935,Cc1cc(C),5864
936,936,c2c(C),5863
937,937,(CC(=O)O),5847
938,938,NCCC,5836
939,939,cccc(C,5808
940,940,4=C,5806
941,941,ccc(C)cc,5796
942,942,ccccc14,5783
943,943,CCCCCCCCCCCCCCCC,5767
944,944,c3ccc(C)cc,5730
945,945,c3ccccc3)c4,5725
946,946,=CC(=O)N,5715
947,947,[C@H]7,5700
948,948,[C@H]4C,5697
949,949,c4cccc(c4,5696
950,950,c5ccc(cc,5693
951,951,c1cc(ccc1,5686
952,952,nc(NC,5674
953,953,)cc2),5664
954,954,2CCN(C,5637
955,955,=C1,2548
956,956,6)C,5619
957,957,C(=O)N[C@@H](CCCCN,5610
958,958,[C@H](OC(=O)C),5596
959,959,c1ccccc1)c2,5590
960,960,)C(=O)OC,5590
961,961,ncc2,5569
962,962,1)S(=O)(=O),5565
963,963,4)c3,5554
964,964,(Cl)c1,5554
965,965,s2),5523
966,966,c3ncc,5518
967,967,c13,5515
968,968,c2ccc3ccccc3,5488
969,969,c5ccccc5),5487
970,970,c3ccccc3)C,5486
971,971,c2nc3,5485
972,972,3)c(,5482
973,973,[C@@]2(C),5469
974,974,#N)c(,5453
975,975,3CCCCC3,1984
976,976,ccc3C,5386
977,977,n3)c4,5357
978,978,\C=C\C(=O)N,5357
979,979,CCC(C),5357
980,980,1CCCCC,5345
981,981,Cc1c(,5344
982,982,c3ccc(Br)cc,5336
983,983,CN(C)C(=O),5326
984,984,[C@@H]4C,5320
985,985,3)N4,5307
986,986,[C@@H](O)[C@H](O),5302
987,987,\C=C/C,5286
988,988,c1ccc(O)cc1),5274
989,989,c4cc5,5271
990,990,ncc1,5251
991,991,cc(NC(=O),5242
992,992,c1c(C,5236
993,993,3)S(=O)(=O),5226
994,994,=C3,5207
995,995,cccc(c3,5196
996,996,)cc4,4548
997,997,OC(F)(F)F)cc,5188
998,998,4C),5188
999,999,nccc(,5187
1000,1000,c1nnc(,5181
1001,1001,OC(,5177
1002,1002,5CCC,5177
1003,1003,COC1,5172
1004,1004,c1ccc(O,5165
1005,1005,C[C@H](,5164
1006,1006,N2CCC(CC,5163
1007,1007,c1cc(C,5154
1008,1008,nn3,2175
1009,1009,[C@@H](C)C,5118
1010,1010,n2)C,5116
1011,1011,2)N3,5115
1012,1012,c2ccc(Br)cc,5114
1013,1013,[C@]3(C),5109
1014,1014,c2o,5089
1015,1015,ccc2C,5086
1016,1016,c3c[nH]c4ccccc3,5081
1017,1017,OC(=O)CC,5080
1018,1018,cc2C,5074
1019,1019,[C@]2(C),5073
1020,1020,c5cc(,5072
1021,1021,CS(=O)(=O)N,5062
1022,1022,=C),5062
1023,1023,c2nnc(,5043
1024,1024,4)c5ccccc5,4707
1025,1025,c4ccc(O)cc,5029
1026,1026,N=C1,5020
1027,1027,cc(ccc2,5015
1028,1028,2)c1,5015
1029,1029,(C)C)N,5011
1030,1030,O[C@@H](,5009
1031,1031,[Na+].[Na+].,4990
1032,1032,CN1CCN(CC1)c2,4988
1033,1033,NC(=O)[C@@H](N),4979
1034,1034,[C@H](C)C,4970
1035,1035,(F)(F)F,2621
1036,1036,N2CCCC,4965
1037,1037,2)c3cccc,4949
1038,1038,c2ccc(C)cc,4946
