+------+-------------+--------------+-------------+-------------+
| Rank |  Drug Name  | Target Name  | Interaction | Probability |
| 138  |    5994.0   | Protein 5909 |      NO     |     0.31    |
| 139  |  11960271.0 | Protein 2400 |      NO     |     0.31    |
| 140  |    4006.0   | Protein 983  |      NO     |     0.31    |
| 141  |  49867941.0 | Protein 3715 |      NO     |     0.30    |
| 142  |  54679224.0 | Protein 2003 |      NO     |     0.30    |
| 143  |  5280453.0  | Protein 4332 |      NO     |     0.29    |
| 144  |   65859.0   | Protein 4355 |      NO     |     0.29    |
| 145  |  6914657.0  | Protein 3183 |      NO     |     0.29    |
| 146  |   60613.0   | Protein 1363 |      NO     |     0.29    |
| 147  |   133298.0  | Protein 3259 |      NO     |     0.29    |
| 148  |  24858111.0 | Protein 2571 |      NO     |     0.29    |
| 149  |   65435.0   | Protein 3201 |      NO     |     0.29    |
| 150  |  9806229.0  | Protein 493  |      NO     |     0.28    |
| 151  |  11488320.0 | Protein 1141 |      NO     |     0.28    |
| 152  |  6604838.0  | Protein 4680 |      NO     |     0.28    |
| 153  |   10918.0   | Protein 4709 |      NO     |     0.27    |
| 154  |    3308.0   | Protein 5522 |      NO     |     0.27    |
| 155  |  9850876.0  | Protein 3116 |      NO     |     0.27    |
| 156  |  11584834.0 | Protein 1223 |      NO     |     0.27    |
| 157  |   119828.0  | Protein 5678 |      NO     |     0.27    |
| 158  |  18376177.0 | Protein 4597 |      NO     |     0.26    |
| 159  |    8362.0   | Protein 5163 |      NO     |     0.26    |
| 160  |   128798.0  | Protein 4120 |      NO     |     0.26    |
| 161  |  9874913.0  | Protein 2489 |      NO     |     0.26    |
| 162  |   153994.0  | Protein 3260 |      NO     |     0.25    |
| 163  |   155806.0  | Protein 3582 |      NO     |     0.25    |
| 164  |   439533.0  | Protein 4331 |      NO     |     0.25    |
| 165  |  25235170.0 | Protein 451  |      NO     |     0.25    |
| 166  | 134689604.0 | Protein 3375 |      NO     |     0.24    |
| 167  |  6420160.0  | Protein 497  |      NO     |     0.24    |
| 168  |    5467.0   | Protein 4082 |      NO     |     0.23    |
| 169  |  5024764.0  | Protein 1564 |      NO     |     0.23    |
| 170  |  9941379.0  | Protein 2152 |      NO     |     0.23    |
| 171  |   14130.0   | Protein 5402 |      NO     |     0.23    |
| 172  |  24812758.0 | Protein 1790 |      NO     |     0.22    |
| 173  |   443872.0  | Protein 4477 |      NO     |     0.22    |
| 174  |  73349077.0 | Protein 1994 |      NO     |     0.22    |
| 175  |  11248490.0 | Protein 5791 |      NO     |     0.21    |
| 176  |   10770.0   | Protein 5215 |      NO     |     0.21    |
| 177  |  3005573.0  | Protein 3405 |      NO     |     0.21    |
| 178  |  9926791.0  | Protein 5475 |      NO     |     0.21    |
| 179  |  45006141.0 | Protein 5534 |      NO     |     0.21    |
| 180  |  2837530.0  | Protein 4856 |      NO     |     0.21    |
| 181  |  3426979.0  | Protein 2507 |      NO     |     0.21    |
| 182  |  56962337.0 | Protein 781  |      NO     |     0.21    |
| 183  | 135409453.0 | Protein 1946 |      NO     |     0.20    |
| 184  |  5328769.0  | Protein 5630 |      NO     |     0.20    |
| 185  |  59671085.0 | Protein 668  |      NO     |     0.19    |
| 186  |    1233.0   | Protein 2661 |      NO     |     0.19    |
| 187  |  5289419.0  | Protein 5694 |      NO     |     0.19    |
| 188  |    5190.0   | Protein 4969 |      NO     |     0.18    |
| 189  |  9826034.0  | Protein 4048 |      NO     |     0.18    |
| 190  |   160355.0  | Protein 2224 |      NO     |     0.18    |
| 191  |    2536.0   | Protein 2826 |      NO     |     0.18    |
| 192  |    5394.0   | Protein 1460 |      NO     |     0.18    |
| 193  |  25074887.0 | Protein 231  |      NO     |     0.18    |
| 194  |     UNK     | Protein 2793 |      NO     |     0.18    |
| 195  |    5035.0   | Protein 5499 |      NO     |     0.18    |
| 196  |  9953769.0  | Protein 3145 |      NO     |     0.17    |
| 197  |   102175.0  | Protein 1884 |      NO     |     0.17    |
| 198  |    4868.0   | Protein 110  |      NO     |     0.17    |
| 199  |     UNK     | Protein 5470 |      NO     |     0.16    |
| 200  |    7741.0   | Protein 2524 |      NO     |     0.16    |
| 201  |   107967.0  | Protein 2088 |      NO     |     0.16    |
| 202  |    7232.0   | Protein 3556 |      NO     |     0.16    |
| 203  |  52953431.0 | Protein 3077 |      NO     |     0.15    |
| 204  | 135566652.0 | Protein 1390 |      NO     |     0.14    |
| 205  |   31411.0   | Protein 729  |      NO     |     0.14    |
| 206  |    5358.0   | Protein 5846 |      NO     |     0.14    |
| 207  |   445154.0  | Protein 6040 |      NO     |     0.14    |
| 208  |  2732040.0  | Protein 4654 |      NO     |     0.14    |
| 209  | 123132491.0 | Protein 728  |      NO     |     0.13    |
| 210  |  25033736.0 | Protein 862  |      NO     |     0.13    |
| 211  |  16667713.0 | Protein 2653 |      NO     |     0.13    |
| 212  |    9015.0   | Protein 5820 |      NO     |     0.13    |
| 213  |  9867770.0  | Protein 1915 |      NO     |     0.13    |
| 214  |   14604.0   | Protein 5885 |      NO     |     0.13    |
| 215  |  67042344.0 | Protein 2162 |      NO     |     0.12    |
| 216  |    4820.0   | Protein 4816 |      NO     |     0.12    |
| 217  |  3765615.0  | Protein 4147 |      NO     |     0.12    |
| 218  |    4486.0   | Protein 538  |      NO     |     0.12    |
| 219  |   31772.0   | Protein 107  |      NO     |     0.12    |
| 220  | 135533054.0 | Protein 3390 |      NO     |     0.12    |
| 221  |   72259.0   | Protein 2555 |      NO     |     0.12    |
| 222  |   68834.0   | Protein 2192 |      NO     |     0.12    |
| 223  |  3038495.0  | Protein 3295 |      NO     |     0.12    |
| 224  |  9914412.0  | Protein 4607 |      NO     |     0.12    |
| 225  |  5702126.0  | Protein 3057 |      NO     |     0.12    |
| 226  |   68835.0   | Protein 2182 |      NO     |     0.12    |
| 227  |    5861.0   | Protein 4387 |      NO     |     0.11    |
| 228  |    2717.0   | Protein 3634 |      NO     |     0.11    |
| 229  |  6604915.0  | Protein 3277 |      NO     |     0.11    |
| 230  |  6708482.0  | Protein 3052 |      NO     |     0.11    |
| 231  |   71153.0   | Protein 1913 |      NO     |     0.11    |
| 232  |  5280360.0  | Protein 5396 |      NO     |     0.11    |
| 233  |  6328657.0  |  Protein 42  |      NO     |     0.11    |
| 234  |  10874809.0 | Protein 811  |      NO     |     0.11    |
| 235  |   43815.0   | Protein 2479 |      NO     |     0.11    |
| 236  |   941650.0  | Protein 3315 |      NO     |     0.11    |
| 237  |   166558.0  | Protein 2888 |      NO     |     0.11    |
| 238  |  11180808.0 | Protein 471  |      NO     |     0.10    |
| 239  |    5329.0   | Protein 5073 |      NO     |     0.10    |
| 240  |  4520732.0  | Protein 6051 |      NO     |     0.10    |
| 241  |    4168.0   | Protein 2002 |      NO     |     0.09    |
| 242  |    5556.0   | Protein 3482 |      NO     |     0.09    |
| 243  |     UNK     | Protein 450  |      NO     |     0.09    |
| 244  |  3032771.0  | Protein 3212 |      NO     |     0.09    |
| 245  |  3874929.0  | Protein 5786 |      NO     |     0.09    |
| 246  |  9938545.0  | Protein 260  |      NO     |     0.09    |
| 247  |  16722832.0 | Protein 2544 |      NO     |     0.09    |
| 248  |   165580.0  | Protein 172  |      NO     |     0.09    |
| 249  |  10389639.0 | Protein 2085 |      NO     |     0.09    |
| 250  |   83273.0   | Protein 2176 |      NO     |     0.09    |
| 251  |   214346.0  | Protein 1463 |      NO     |     0.09    |
| 252  |   13791.0   | Protein 5143 |      NO     |     0.09    |
| 253  |  11340230.0 | Protein 1715 |      NO     |     0.09    |
| 254  |   437740.0  | Protein 5745 |      NO     |     0.09    |
| 255  |  11494970.0 | Protein 1805 |      NO     |     0.08    |
| 256  |   71616.0   | Protein 357  |      NO     |     0.08    |
| 257  |   53232.0   | Protein 5214 |      NO     |     0.08    |
| 258  |  10981286.0 | Protein 1760 |      NO     |     0.08    |
| 259  |     UNK     | Protein 3611 |      NO     |     0.08    |
| 260  |  4660557.0  | Protein 4188 |      NO     |     0.08    |
| 261  |    3343.0   | Protein 5430 |      NO     |     0.08    |
| 262  |  60126757.0 | Protein 4214 |      NO     |     0.08    |
| 263  |  71450251.0 | Protein 1623 |      NO     |     0.08    |
| 264  |  6711154.0  | Protein 2472 |      NO     |     0.08    |
| 265  |    825.0    | Protein 4662 |      NO     |     0.08    |
| 266  |  9800961.0  | Protein 5296 |      NO     |     0.08    |
| 267  |  45006148.0 | Protein 1595 |      NO     |     0.07    |
| 268  |    2758.0   | Protein 5148 |      NO     |     0.07    |
| 269  |  5284596.0  | Protein 4892 |      NO     |     0.07    |
| 270  |   60961.0   | Protein 1278 |      NO     |     0.07    |
| 271  |    3748.0   | Protein 5033 |      NO     |     0.07    |
| 272  |  12934390.0 | Protein 2249 |      NO     |     0.07    |
| 273  |  56649281.0 | Protein 821  |      NO     |     0.07    |
| 274  |   50161.0   | Protein 2780 |      NO     |     0.07    |
| 275  |  11749858.0 | Protein 4167 |      NO     |     0.07    |
| 276  |    2789.0   | Protein 2920 |      NO     |     0.07    |
| 277  |    970.0    | Protein 5039 |      NO     |     0.07    |
| 278  |   72146.0   | Protein 5743 |      NO     |     0.07    |
| 279  |  1549008.0  | Protein 3206 |      NO     |     0.07    |
| 280  |  11784736.0 | Protein 3131 |      NO     |     0.07    |
| 281  |  11844351.0 | Protein 1472 |      NO     |     0.07    |
| 282  |   644733.0  | Protein 1365 |      NO     |     0.07    |
| 283  |   134117.0  | Protein 3646 |      NO     |     0.06    |
| 284  |    5403.0   | Protein 5400 |      NO     |     0.06    |
| 285  |  5493444.0  | Protein 1471 |      NO     |     0.06    |
| 286  |   462382.0  | Protein 2520 |      NO     |     0.06    |
| 287  |  2729103.0  | Protein 5971 |      NO     |     0.06    |
| 288  |   638024.0  | Protein 5421 |      NO     |     0.06    |
| 289  |   122070.0  | Protein 1416 |      NO     |     0.06    |
| 290  |  77845606.0 | Protein 2191 |      NO     |     0.06    |
| 291  |    4740.0   | Protein 2092 |      NO     |     0.06    |
| 292  |   100651.0  | Protein 3893 |      NO     |     0.06    |
| 293  |  5361092.0  | Protein 5183 |      NO     |     0.06    |
| 294  |    5362.0   | Protein 5336 |      NO     |     0.06    |
| 295  |   452548.0  | Protein 1768 |      NO     |     0.06    |
| 296  |     UNK     | Protein 1419 |      NO     |     0.06    |
| 297  |    5587.0   | Protein 1157 |      NO     |     0.06    |
| 298  |   448014.0  | Protein 2269 |      NO     |     0.06    |
| 299  |   481747.0  | Protein 2806 |      NO     |     0.06    |
| 300  |   10930.0   | Protein 5093 |      NO     |     0.06    |
| 301  |  71295847.0 | Protein 217  |      NO     |     0.06    |
| 302  |  46216796.0 | Protein 4127 |      NO     |     0.06    |
| 303  |   74603.0   | Protein 1225 |      NO     |     0.06    |
| 304  |    5339.0   | Protein 3391 |      NO     |     0.06    |
| 305  |     UNK     | Protein 3615 |      NO     |     0.05    |
| 306  |   339455.0  | Protein 870  |      NO     |     0.05    |
| 307  |   148201.0  | Protein 2527 |      NO     |     0.05    |
| 308  |  58153740.0 | Protein 1240 |      NO     |     0.05    |
| 309  |   443586.0  | Protein 5418 |      NO     |     0.05    |
| 310  |  9893571.0  | Protein 1475 |      NO     |     0.05    |
| 311  |    6872.0   | Protein 5523 |      NO     |     0.05    |
| 312  |    5353.0   | Protein 4691 |      NO     |     0.05    |
| 313  |    3946.0   | Protein 2999 |      NO     |     0.05    |
| 314  |     UNK     | Protein 1514 |      NO     |     0.05    |
| 315  |  5362422.0  | Protein 894  |      NO     |     0.05    |
| 316  |  6419844.0  | Protein 4834 |      NO     |     0.05    |
| 317  |   148178.0  | Protein 4872 |      NO     |     0.05    |
| 318  |   60943.0   | Protein 2557 |      NO     |     0.05    |
| 319  |   130611.0  | Protein 360  |      NO     |     0.05    |
| 320  |   440936.0  | Protein 3422 |      NO     |     0.05    |
| 321  |  9851724.0  | Protein 4353 |      NO     |     0.05    |
| 322  |   15330.0   | Protein 3592 |      NO     |     0.05    |
| 323  |  5323714.0  |  Protein 76  |      NO     |     0.05    |
| 324  |   20525.0   | Protein 3028 |      NO     |     0.05    |
| 325  |   872445.0  | Protein 2405 |      NO     |     0.05    |
| 326  |   204104.0  | Protein 1672 |      NO     |     0.05    |
| 327  | 135565082.0 | Protein 722  |      NO     |     0.05    |
| 328  |  10427712.0 | Protein 2466 |      NO     |     0.05    |
| 329  |  44208978.0 | Protein 314  |      NO     |     0.05    |
| 330  |    5581.0   | Protein 4220 |      NO     |     0.05    |
| 331  |    5957.0   | Protein 3786 |      NO     |     0.05    |
| 332  |  25242512.0 | Protein 118  |      NO     |     0.05    |
| 333  |  16760007.0 | Protein 1111 |      NO     |     0.04    |
| 334  |   38258.0   | Protein 604  |      NO     |     0.04    |
| 335  |  11560787.0 | Protein 3633 |      NO     |     0.04    |
| 336  |  71577426.0 | Protein 563  |      NO     |     0.04    |
| 337  |  16126898.0 | Protein 2107 |      NO     |     0.04    |
| 338  |  45006080.0 | Protein 5155 |      NO     |     0.04    |
| 339  |    6738.0   | Protein 4996 |      NO     |     0.04    |
| 340  |    4456.0   | Protein 4011 |      NO     |     0.04    |
| 341  |  6915744.0  | Protein 344  |      NO     |     0.04    |
| 342  | 129009904.0 | Protein 496  |      NO     |     0.04    |
| 343  |  5383587.0  | Protein 1443 |      NO     |     0.04    |
| 344  |  46215462.0 | Protein 1663 |      NO     |     0.04    |
| 345  |    4075.0   | Protein 3446 |      NO     |     0.04    |
| 346  |    6883.0   | Protein 521  |      NO     |     0.04    |
| 347  |  6442177.0  | Protein 1422 |      NO     |     0.04    |
| 348  |  5328775.0  | Protein 5113 |      NO     |     0.04    |
| 349  |  10113978.0 | Protein 4447 |      NO     |     0.04    |
| 350  |   54833.0   | Protein 1000 |      NO     |     0.04    |
| 351  |  46220502.0 | Protein 147  |      NO     |     0.04    |
| 352  |   43231.0   | Protein 3929 |      NO     |     0.04    |
| 353  |  25015515.0 | Protein 4087 |      NO     |     0.04    |
| 354  |   177865.0  | Protein 5167 |      NO     |     0.04    |
| 355  |  5720233.0  | Protein 5013 |      NO     |     0.04    |
| 356  |   26618.0   | Protein 5364 |      NO     |     0.04    |
| 357  |  17751063.0 | Protein 1861 |      NO     |     0.04    |
| 358  |   54841.0   | Protein 4244 |      NO     |     0.04    |
| 359  |  24786010.0 | Protein 3553 |      NO     |     0.04    |
| 360  |   71264.0   | Protein 2198 |      NO     |     0.04    |
| 361  |   25429.0   | Protein 5913 |      NO     |     0.04    |
| 362  |   67701.0   | Protein 5290 |      NO     |     0.04    |
| 363  |  67475270.0 | Protein 1120 |      NO     |     0.04    |
| 364  |  57467688.0 | Protein 655  |      NO     |     0.04    |
| 365  |     UNK     | Protein 4492 |      NO     |     0.03    |
| 366  |   68740.0   | Protein 4538 |      NO     |     0.03    |
| 367  |   65659.0   | Protein 5025 |      NO     |     0.03    |
| 368  |  9934458.0  | Protein 1245 |      NO     |     0.03    |
| 369  |  73777259.0 | Protein 3918 |      NO     |     0.03    |
| 370  |  11345983.0 | Protein 3739 |      NO     |     0.03    |
| 371  |   408895.0  | Protein 3950 |      NO     |     0.03    |
| 372  |    4040.0   | Protein 5432 |      NO     |     0.03    |
| 373  |   160517.0  | Protein 6047 |      NO     |     0.03    |
| 374  |    3759.0   | Protein 4784 |      NO     |     0.03    |
| 375  |   610479.0  | Protein 3898 |      NO     |     0.03    |
| 376  |  56642816.0 | Protein 2008 |      NO     |     0.03    |
| 377  |  44473151.0 | Protein 1153 |      NO     |     0.03    |
| 378  |  44386188.0 | Protein 733  |      NO     |     0.03    |
| 379  |  9924495.0  | Protein 3783 |      NO     |     0.03    |
| 380  |  16760643.0 | Protein 296  |      NO     |     0.03    |
| 381  |    305.0    | Protein 2414 |      NO     |     0.03    |
| 382  |   38072.0   | Protein 2734 |      NO     |     0.03    |
| 383  |   130918.0  | Protein 500  |      NO     |     0.03    |
| 384  |   104858.0  | Protein 3292 |      NO     |     0.03    |
| 385  |   64945.0   | Protein 4867 |      NO     |     0.03    |
| 386  |  66553195.0 | Protein 1399 |      NO     |     0.03    |
| 387  |    3792.0   | Protein 4000 |      NO     |     0.03    |
| 388  |  5702124.0  | Protein 4117 |      NO     |     0.03    |
| 389  |  6604931.0  | Protein 1634 |      NO     |     0.03    |
| 390  |   10850.0   | Protein 2771 |      NO     |     0.03    |
| 391  |     UNK     | Protein 1542 |      NO     |     0.03    |
| 392  |  16170150.0 | Protein 2130 |      NO     |     0.03    |
| 393  |  21678144.0 | Protein 4270 |      NO     |     0.03    |
| 394  |   449097.0  | Protein 5070 |      NO     |     0.03    |
| 395  |   708857.0  | Protein 6021 |      NO     |     0.03    |
| 396  |  2898877.0  | Protein 835  |      NO     |     0.03    |
| 397  |   60825.0   | Protein 615  |      NO     |     0.03    |
| 398  |  54575456.0 | Protein 1509 |      NO     |     0.03    |
| 399  |   10638.0   | Protein 1819 |      NO     |     0.03    |
| 400  |  90479790.0 | Protein 4565 |      NO     |     0.03    |
| 401  |   53001.0   | Protein 4871 |      NO     |     0.03    |
| 402  |  15551229.0 | Protein 5645 |      NO     |     0.03    |
| 403  |   65926.0   | Protein 5394 |      NO     |     0.03    |
| 404  |    3651.0   | Protein 5509 |      NO     |     0.03    |
| 405  |    2044.0   | Protein 5458 |      NO     |     0.02    |
| 406  |  1554210.0  | Protein 988  |      NO     |     0.02    |
| 407  |  5312125.0  | Protein 1373 |      NO     |     0.02    |
| 408  |    6726.0   | Protein 1793 |      NO     |     0.02    |
| 409  |  11256664.0 | Protein 3541 |      NO     |     0.02    |
| 410  |   10228.0   | Protein 5162 |      NO     |     0.02    |
| 411  |  52913813.0 | Protein 1875 |      NO     |     0.02    |
| 412  |   25588.0   | Protein 4781 |      NO     |     0.02    |
| 413  |   456390.0  | Protein 906  |      NO     |     0.02    |
| 414  |     UNK     | Protein 903  |      NO     |     0.02    |
| 415  |   457831.0  | Protein 955  |      NO     |     0.02    |
| 416  |  40424580.0 | Protein 5675 |      NO     |     0.02    |
| 417  |   41870.0   | Protein 1721 |      NO     |     0.02    |
| 418  |  45006145.0 | Protein 4339 |      NO     |     0.02    |
| 419  |  76960974.0 | Protein 4822 |      NO     |     0.02    |
| 420  |  5280934.0  | Protein 5889 |      NO     |     0.02    |
| 421  |  5282219.0  | Protein 5875 |      NO     |     0.02    |
| 422  |   107950.0  | Protein 1537 |      NO     |     0.02    |
| 423  |  16007391.0 | Protein 2227 |      NO     |     0.02    |
| 424  |  5311479.0  | Protein 3741 |      NO     |     0.02    |
| 425  | 135424953.0 | Protein 2546 |      NO     |     0.02    |
| 426  |    8042.0   | Protein 3626 |      NO     |     0.02    |
| 427  |   46740.0   | Protein 2658 |      NO     |     0.02    |
| 428  |   91707.0   | Protein 2825 |      NO     |     0.02    |
| 429  |  9798229.0  | Protein 5500 |      NO     |     0.02    |
